category,subcategory,group
games,video_games,Acion
sports,soccer,AC Milan
sports,soccer,AC Milan
sports,soccer,AC Milan
sports,soccer,AC Milan
sports,soccer,AC Milan
sports,soccer,AC Milan
sports,soccer,AC Milan
games,video_games,Action
games,video_games,Action
games,video_games,Action
games,video_games,Action
games,video_games,Action
games,video_games,Action
games,video_games,Action
games,video_games,Action
games,video_games,Action
games,video_games,Action
games,video_games,Action
games,video_games,Action
games,video_games,Action
games,video_games,Action
games,video_games,Action
games,video_games,Adventure
games,video_games,Adventure
games,video_games,Adventure
games,video_games,Adventure
games,video_games,Adventure
games,video_games,Adventure
games,video_games,Adventure
sports,soccer,Ajax
sports,soccer,Argentina
sports,soccer,Argentina
sports,football,Argentina
sports,soccer,Argentina
games,video_games,aRPG
games,video_games,aRPG
sports,soccer,Arsenal
sports,soccer,Arsenal
sports,basketball,Atlanta Hawks
sports,basketball,Atlanta Hawks
sports,basketball,Baltimore/Washington Bullets
sports,soccer,Bayern Munich
sports,soccer,Bayern Munich
sports,soccer,Bayern Munich
sports,soccer,Blackpool
sports,hockey,Boston Bruins
sports,hockey,Boston Bruins
sports,hockey,Boston Bruins
sports,hockey,Boston Bruins
sports,hockey,Boston Bruins
sports,hockey,Boston Bruins
sports,hockey,Boston Bruins
sports,hockey,Boston Bruins
sports,basketball,Boston Celtics
sports,basketball,Boston Celtics
sports,basketball,Boston Celtics
sports,basketball,Boston Celtics
sports,basketball,Boston Celtics
sports,basketball,Boston Celtics
sports,basketball,Boston Celtics
sports,basketball,Boston Celtics
sports,basketball,Boston Celtics
sports,basketball,Boston Celtics
sports,basketball,Boston Celtics
sports,soccer,Brazil
sports,soccer,Brazil
sports,soccer,Brazil
sports,soccer,Brazil
sports,soccer,Brazil
sports,soccer,Brazil
sports,soccer,Brazil
sports,soccer,Brazil
sports,soccer,Brazil
sports,basketball,Buffalo Braves
sports,hockey,Buffalo Sabres
sports,hockey,Buffalo Sabres
sports,soccer,Celtic
sports,hockey,Chicago Black Hawks
sports,hockey,Chicago Black Hawks
sports,hockey,Chicago Black Hawks
sports,hockey,Chicago Black Hawks
sports,hockey,Chicago Black Hawks
sports,basketball,Chicago Bulls
sports,basketball,Chicago Bulls
sports,basketball,Chicago Bulls
sports,basketball,Cincinnati Royals
sports,basketball,Cincinnati Royals/Kansas City-Omaha Kings
sports,basketball,Cincinnati Royals/Kings
sports,hockey,Colorado Avalanche
games,video_games,cRPG
games,video_games,cRPG
games,video_games,cRPG
games,video_games,cRPG
sports,soccer,Czechoslovakia
sports,basketball,Dallas Mavericks
sports,basketball,Dallas Mavericks
sports,basketball,Denver Nuggets
sports,basketball,Detroit Pistons
sports,basketball,Detroit Pistons
sports,basketball,Detroit Pistons
sports,hockey,Detroit Red Wings
sports,hockey,Detroit Red Wings
sports,hockey,Detroit Red Wings
sports,hockey,Detroit Red Wings
sports,hockey,Detroit Red Wings
sports,hockey,Detroit Red Wings
sports,hockey,Detroit Red Wings
sports,hockey,Detroit Red Wings
sports,soccer,Dynamo Kyiv
sports,soccer,Dynamo Kyiv
sports,soccer,Dynamo Moscow
sports,hockey,Edmonton Oilers
sports,hockey,Edmonton Oilers
sports,hockey,Edmonton Oilers
sports,hockey,Edmonton Oilers
sports,soccer,England
sports,soccer,England
sports,soccer,FC Barcelona
sports,soccer,FC Barcelona
sports,soccer,FC Barcelona
sports,,FC Barcelona
sports,soccer,FC Barcelona
sports,soccer,Ferencvárosi TC
games,video_games,Fighting
games,video_games,Fighting
sports,soccer,Flamengo
sports,soccer,France
sports,soccer,France
sports,soccer,France
sports,soccer,Germany
sports,soccer,Germany
sports,basketball,Golden State Warriors
sports,basketball,Golden State Warriors
sports,basketball,Golden State Warriors
sports,basketball,Golden State Warriors
sports,soccer,Hamburger SV
games,video_games,Hero shooter
games,video_games,Horror
games,video_games,Horror
sports,basketball,Houston Rockets
sports,basketball,Houston Rockets
sports,basketball,Houston Rockets
sports,soccer,Hungary
sports,basketball,Indiana Pacers
sports,soccer,Inter Milan
sports,soccer,Inter Milan
sports,soccer,Italy
sports,soccer,Italy
sports,soccer,Italy
sports,soccer,Italy
games,video_games,JRPG
games,video_games,JRPG
sports,soccer,Juventus
sports,soccer,Juventus
sports,soccer,Juventus
sports,soccer,Liberia national team
sports,soccer,Liverpool
sports,soccer,Liverpool
sports,basketball,Los Angeles Clippers
sports,hockey,Los Angeles Kings
sports,basketball,Los Angeles Lakers
sports,basketball,Los Angeles Lakers
sports,basketball,Los Angeles Lakers
sports,basketball,Los Angeles Lakers
sports,basketball,Los Angeles Lakers
sports,basketball,Los Angeles Lakers
sports,basketball,Los Angeles Lakers
sports,basketball,Los Angeles Lakers
sports,basketball,Los Angeles Lakers
sports,basketball,Los Angeles Lakers
sports,soccer,Manchester City
sports,soccer,Manchester United
sports,soccer,Manchester_United
sports,soccer,Manchester_United
sports,soccer,Manchester_United
games,video_games,Mech
games,video_games,Metroidvania
sports,basketball,Miami Heat
sports,basketball,Milwaukee Bucks
sports,basketball,Minneapolis Lakers
games,video_games,MMORPG
games,video_games,MOBA
games,video_games,MOBA
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,hockey,Montreal Canadiens
sports,soccer,Netherlands
sports,soccer,Newcastle United
sports,hockey,New Jersey Devils
sports,hockey,New York Giants
sports,hockey,New York Islanders
sports,hockey,New York Islanders
sports,hockey,New York Islanders
sports,basketball,New York Knicks
sports,basketball,New York Knicks
sports,basketball,New York Knicks
sports,basketball,New_York_Knicks
sports,hockey,New York Rangers
sports,hockey,New York Rangers
sports,hockey,New York Rangers
sports,hockey,New York Rangers
sports,hockey,New_York_Rangers
sports,hockey,NHL Team
sports,hockey,NHL Team
sports,hockey,NHL Team
sports,hockey,NHL Team
sports,hockey,NHL Team
sports,basketball,Oklahoma City Thunder
sports,hockey,Ottawa Senators
sports,basketball,Philadelphia 76ers
sports,basketball,Philadelphia 76ers
sports,basketball,Philadelphia 76ers
sports,basketball,Philadelphia 76ers
sports,basketball,Philadelphia 76ers
sports,hockey,Philadelphia Flyers
sports,hockey,Philadelphia Flyers
sports,hockey,Philadelphia Flyers
sports,basketball,Philadelphia/San Francisco Warriors
sports,basketball,Philadelphia Warriors
sports,basketball,Philadelphia Warriors/76ers
sports,basketball,Phoenix Suns
sports,basketball,Phoenix Suns
sports,hockey,Pittsburgh Penguins
sports,hockey,Pittsburgh Penguins
sports,hockey,Pittsburgh Penguins
sports,basketball,Portland Trail Blazers
sports,basketball,Portland Trail Blazers
sports,basketball,Portland Trail Blazers
sports,soccer,Portugal
sports,soccer,Portugal
games,video_games,Puzzle
sports,hockey,Quebec Nordiques
games,video_games,Race
sports,soccer,Real Madrid
sports,soccer,Real Madrid
games,video_games,Rogue
sports,soccer,Romania
games,video_games,Royale
games,video_games,Royale
games,video_games,Royale
games,,Royale
games,,Royale
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RPG
games,video_games,RTS
games,video_games,RTS
games,video_games,RTS
games,video_games,RTS
sports,basketball,San Antonio Spurs
